WEO Country Group Code,WEO Subject Code,Country Group Name,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
1,NGSD_NGDP,World,Gross national savings,,Percent of GDP,,,23.894,23.607,22.124,21.384,22.566,22.101,22.072,22.734,23.84,23.994,23.744,23.137,22.464,22.388,22.574,23.067,23.781,24.013,23.684,23.562,24.078,23.219,22.635,22.837,23.783,24.286,25.289,25.458,24.995,23.187,24.779,25.746,26.119,26.047,26.53,26.29,25.879,26.588,26.992,26.954,27.007,27.983,28.365,28.428,28.513,28.587,28.619,28.653,
1,PCPIPCH,World,"Inflation, average consumer prices",,Percent change,,,17.284,15.072,14.19,13.371,13.987,13.702,11.778,14.546,19.528,22.861,26.204,17.174,38.444,39.428,31.167,16.072,9.337,6.526,6.313,6.173,4.841,4.57,3.65,3.886,3.782,4.035,4.033,4.302,6.326,2.775,3.708,5.061,4.075,3.619,3.213,2.719,2.705,3.231,3.622,3.511,3.233,4.708,7.399,4.847,3.761,3.42,3.269,3.243,
1,PCPIEPCH,World,"Inflation, end of period consumer prices",,Percent change,,,n/a,n/a,n/a,n/a,n/a,16.47,9.661,18.199,22.955,24.291,25.059,18.93,41.843,41.965,25.54,12.59,7.914,5.956,7.2,5.093,4.847,3.911,4.07,3.623,4.086,3.962,3.943,5.294,4.666,3.116,4.29,4.743,3.967,3.267,2.887,2.807,3.003,3.299,3.559,3.848,2.805,6.397,6.756,4.148,3.534,3.311,3.253,3.205,
1,TRADEPCH,World,Trade volume of goods and services,,Percent change,,,2.945,3.261,-1.65,1.554,8.617,2.582,4.511,6.563,8.869,8.203,6.837,5.327,5.563,2.958,9.478,9.544,6.577,10.229,4.884,5.102,12.393,0.639,3.798,5.869,10.98,7.935,9.453,8.046,2.985,-10.325,12.738,7.047,3.075,3.496,3.833,2.958,2.258,5.608,4.01,0.947,-7.931,10.131,4.974,4.415,3.908,3.679,3.543,3.514,
1,TM_RPCH,World,Volume of imports of goods and services,,Percent change,,,1.642,2.23,-1.588,1.659,8.811,2.266,5.285,7.2,8.854,8.578,6.674,4.643,5.321,2.148,10.293,9.545,7.071,10.068,5.335,5.728,12.551,0.664,3.808,6.081,10.887,8.061,9.277,8.305,3.08,-10.739,12.567,7.212,2.97,3.366,4.06,2.807,2.208,5.744,4.258,0.922,-8.38,10.297,5.276,4.572,3.882,3.754,3.616,3.569,
1,TMG_RPCH,World,Volume of imports of goods,,Percent change,,,1.284,1.136,-1.478,2.656,9.922,3.159,6.56,6.891,9.719,7.902,6.57,5.112,6.456,2.944,10.782,10.261,7.149,11.003,4.944,6.226,13.035,0.089,4.078,6.978,11.293,8.352,9.454,8.181,3.106,-12.242,13.901,7.949,2.578,3.199,3.097,2.2,2.147,5.724,4.294,0.346,-5.63,11.511,4.883,3.864,3.48,3.686,3.584,3.548,
1,TX_RPCH,World,Volume of exports of goods and services,,Percent change,,,4.244,4.264,-1.71,1.455,8.431,2.886,3.771,5.947,8.884,7.836,6.997,6.001,5.798,3.742,8.703,9.543,6.1,10.387,4.445,4.489,12.237,0.615,3.788,5.657,11.073,7.81,9.63,7.789,2.891,-9.91,12.908,6.884,3.18,3.626,3.607,3.109,2.307,5.474,3.765,0.971,-7.484,9.967,4.676,4.259,3.933,3.605,3.471,3.458,
1,TXG_RPCH,World,Volume of exports of goods,,Percent change,,,4.066,4.389,-2.235,1.866,8.975,3.429,3.664,6.156,9.5,7.655,6.321,6.677,6.608,4.176,9.222,10.088,5.896,11.095,4.177,5.008,12.967,0.3,3.836,6.351,11.031,7.935,9.605,7.205,2.529,-11.28,14.743,7.089,3.136,3.384,2.921,2.464,2.07,5.548,3.356,0.072,-4.227,10.283,3.873,3.766,3.64,3.462,3.392,3.4,
1,TTPCH,World,Terms of trade of goods and services,,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TTTPCH,World,Terms of trade of goods,,Percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TXGM_D,World,Export price of manufactures,,"U.S. dollars; index, 2000=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TXGM_DPCH,World,Export price of manufactures,,U.S. dollars; annual percent change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LUR,World,Unemployment rate,,Percent of total labor force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,LE,World,Employment,,"Index, 2000=100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGR_NGDP,World,General government revenue,"Revenue consists of taxes, social contributions, grants receivable, and other revenue. Revenue increases government's net worth, which is the difference between its assets and liabilities (GFSM 2001, paragraph 4.20). Note: Transactions that merely change the composition of the balance sheet do not change the net worth position, for example, proceeds from sales of nonfinancial and financial assets or incurrence of liabilities.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGX_NGDP,World,General government total expenditure,"Total expenditure consists of total expense and the net acquisition of nonfinancial assets. Note: Apart from being on an accrual basis, total expenditure differs from the GFSM 1986 definition of total expenditure in the sense that it also takes the disposals of nonfinancial assets into account.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXCNL_NGDP,World,General government net lending/borrowing,"Net lending (+)/ borrowing (-) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (-) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGSB_NPGDP,World,General government structural balance,,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXONLB_NGDP,World,General government primary net lending/borrowing,Primary net lending/borrowing is net lending (+)/borrowing (-) plus net interest payable/paid (interest expense minus interest revenue).,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXWDN_NGDP,World,General government net debt,"Net debt is calculated as gross debt minus financial assets corresponding to debt instruments. These financial assets are: monetary gold and SDRs, currency and deposits, debt securities, loans, insurance, pension, and standardized guarantee schemes, and other accounts receivable.",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GGXWDG_NGDP,World,General government gross debt,"Gross debt consists of all liabilities that require payment or payments of interest and/or principal by the debtor to the creditor at a date or dates in the future. This includes debt liabilities in the form of SDRs, currency and deposits, debt securities, loans, insurance, pensions and standardized guarantee schemes, and other accounts payable. Thus, all liabilities in the GFSM 2001 system are debt, except for equity and investment fund shares and financial derivatives and employee stock options. Debt can be valued at current market, nominal, or face values (GFSM 2001, paragraph 7.110).",Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BCA,World,Current account balance,"Current account is all transactions other than those in financial and capital items. The major classifications are goods and services, income and current transfers. The focus of the BOP is on transactions (between an economy and the rest of the world) in goods, services, and income. Data for the world total reflects errors, omissions, and asymmetries in balance of payments statistics on current account, as well as the exclusion of data for international organizations and a limited number of countries. Calculated as the sum of the balance of individual countries.",U.S. dollars,Billions,,-57.229,-82.976,-92.681,-76.931,-69.004,-64.729,-67.736,-65.437,-59.449,-85.63,-114.297,-154.578,-139.472,-69.776,-92.499,-78.16,-66.392,-10.036,-88.364,-105.084,-159.747,-188.663,-143.671,-80.014,13.712,51.02,182.535,216.291,88.489,160.683,283.764,320.068,371.023,391.735,385.426,197.108,268.542,466.41,348.995,338.631,367.942,744.626,617.25,444.08,426.66,412.43,346.361,323.493,
1,BCA_NGDPD,World,Current account balance,,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BM,World,Imports of goods and services,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BX,World,Exports of goods and services,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BF,World,Financial account balance,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFD,World,"Direct investment, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFP,World,"Portfolio investment, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFF,World,"Financial derivatives, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFO,World,"Other investment, net",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BFRA,World,Change in reserves,,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,World,"External debt, total",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D_NGDPD,World,"External debt, total",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D_BX,World,"External debt, total",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS,World,"External debt, total debt service",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS_NGDPD,World,"External debt, total debt service",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DS_BX,World,"External debt, total debt service",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSI,World,"External debt, total debt service, interest",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSI_NGDPD,World,"External debt, total debt service, interest",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSI_BX,World,"External debt, total debt service, interest",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSP,World,"External debt, total debt service, amortization",,U.S. dollars,Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSP_NGDPD,World,"External debt, total debt service, amortization",,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,DSP_BX,World,"External debt, total debt service, amortization",,Percent of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PALLFNFW,World,Commodity Price Index includes both Fuel and Non-Fuel Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,51.169,49.801,52.109,55.798,59.59,56.123,47.306,47.983,60.391,56.192,55.851,65.697,79.176,97.703,114.183,129.096,163.128,116.866,146.114,182.473,174.418,168.792,159.123,108.279,100,113.545,128.194,117.523,105.911,162.281,238.442,201.668,184.784,178.419,174.794,172.971,
1,PNFUELW,World,Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.141,52.995,58.621,62.642,63.068,59.457,54.194,49.398,51.055,48.941,50.913,57.086,65.603,70.786,86.428,101.221,113.588,97.877,122.851,147.304,136.137,128.185,121.081,100.372,100,106.371,107.8,108.603,115.95,146.985,163.74,159.705,157.59,157.252,157.078,157.132,
1,PINDUW,World,Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,54.517,52.545,60.494,69.972,63.385,61.154,49.653,49.821,55.141,48.655,48.886,56.868,72.089,83.984,121.256,144.608,134.613,114.228,169.835,195.611,159.538,153.145,136.114,104.016,100,117.369,123.762,125.561,127.988,179.28,195.208,192.778,188.598,185.753,183.754,182.914,
1,POILAPSP,World,"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel","The APSP denotes an equally weighted average of three crude oil spot prices West Texas Intermediate ( WTI ), Dated Brent ( Brent ), and Dubai Fateh ( Dubai ). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the  headline  oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.",U.S. dollars,Units,,35.707,34.038,31.544,29.469,28.546,27.371,14.172,18.198,14.769,17.906,22.985,19.368,19.036,16.787,15.948,17.204,20.373,19.268,13.074,17.981,28.234,24.331,24.95,28.903,37.717,53.36,64.275,71.161,96.965,61.766,79.035,104.052,105.007,104.069,96.247,50.793,42.837,52.814,68.329,61.391,41.287,69.067,106.828,92.628,84.228,78.546,74.699,72.478,
1,POILBRE,World,"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",,U.S. dollars,Units,,37.892,36.676,33.418,29.783,28.743,27.611,14.433,18.436,14.975,18.248,23.711,19.982,19.414,16.998,15.826,17.056,20.453,19.116,12.719,17.699,28.308,24.412,24.998,28.845,38.281,54.433,65.376,72.731,97.569,61.865,79.635,111.082,111.96,108.844,98.943,52.399,44.048,54.401,71.071,64.032,42.298,70.443,110.815,96.092,87.238,81.363,77.583,74.923,
1,POILDUB,World,"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",,U.S. dollars,Units,,35.846,34.294,31.757,28.468,27.509,26.508,13.056,16.964,13.36,15.781,20.73,16.607,17.138,14.906,14.832,16.128,18.537,18.102,12.09,17.076,26.085,22.71,23.734,26.732,33.44,49.192,61.412,68.405,93.713,61.729,78.064,106.027,108.919,105.43,96.664,51.232,41.236,53.116,69.13,63.147,42.149,68.781,105.802,92.184,84.418,79.38,76.002,74.72,
1,POILWTI,World,"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",,U.S. dollars,Units,,37.879,36.168,32.67,30.604,29.388,27.992,15.024,19.193,15.972,19.692,24.518,21.512,20.555,18.455,17.183,18.432,22.132,20.585,14.416,19.166,30.315,25.869,26.116,31.133,41.429,56.455,66.036,72.347,99.612,61.702,79.405,95.046,94.143,97.934,93.135,48.748,43.226,50.924,64.785,56.995,39.413,67.978,103.868,89.609,81.021,74.892,70.517,67.789,
1,PNRGW,World,"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,48.316,45.18,42.688,45.897,54.558,51.299,37.343,45.935,73.896,66.679,62.994,78.152,98.809,136.638,154.329,169.418,234.787,144.334,179.764,233.343,229.791,227.529,214.151,119.717,100,123.923,157.694,130.426,91.389,184.408,346.496,262.366,224.12,209.036,200.419,195.882,
1,POILAPSPW,World,"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","The APSP denotes an equally weighted average of three crude oil spot prices West Texas Intermediate ( WTI ), Dated Brent ( Brent ), and Dubai Fateh ( Dubai ). The prices of these crude oils tend to move together according to the inequality WTI > Brent > Dubai. Their price differentials reflect differences in American Petroleum Institute (API) measure of gravity, sulfur content, and overall weight. The WTI spot price refers to the physical delivery price for a barrel of WTI deliverable to Cushing, Oklahoma. The WTI price is frequently mentioned in the financial press, and is often described as the  headline  oil price. The Brent spot price is the physical delivery price for a barrel of either Dated Brent (UK), Forties (Norway), or Oseberg (Norway) to Sullom Voe, United Kingdom (in the Shetland Islands). The Dubai Fateh spot price refers to the physical price for a barrel of Dubai Fateh deliverable in the Arabian Gulf at Dubai, United Arab Emirates.","Index, 2016=100",,,86.861,83.367,76.153,69.15,66.651,63.908,33.062,42.465,34.448,41.751,53.607,45.134,44.396,39.143,37.216,40.157,47.529,44.972,30.515,41.977,65.885,56.78,58.242,67.445,87.948,124.491,150.04,166.125,226.404,144.297,184.6,243.063,245.369,243.114,224.834,118.658,100,123.375,159.623,143.452,96.474,161.328,249.482,216.336,196.736,183.49,174.525,169.373,
1,PNGASW,World,"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58.298,64.291,58.036,59.377,74.511,70.202,57.454,59.052,107.514,103.527,85.2,122.668,134.164,195.761,189.096,193.408,270.996,154.138,163.654,204.326,209.852,213.197,214.72,139.99,100,116.099,146.692,92.788,70.784,256.676,633.913,373.415,279.111,247.427,235.224,230.27,
1,PNGASEU,World,"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,3.81,3.44,2.13,1.9,1.589,2.035,3.008,2.365,2.598,2.312,2.696,2.75,2.67,2.245,1.807,3.454,3.873,2.666,3.486,3.755,5.915,8.213,8.143,13.138,8.855,8.223,10.597,11.981,11.189,10.463,7.305,4.353,5.744,7.915,4.449,3.179,15.912,48.171,26.127,14.653,10.593,8.922,8.106,
1,PNGASJP,World,"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.744,3.598,3.285,3.557,3.903,3.761,2.754,3.343,5.235,4.669,4.427,4.981,5.891,7.033,8.049,8.411,11.591,7.491,9.381,15.553,18.145,17.339,16.998,10.958,7.439,7.247,9.795,5.445,4.366,18.6,44.883,27.048,27.048,27.048,27.048,27.048,
1,PNGASUS,World,"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.451,1.751,2.114,1.915,1.704,2.689,2.46,2.088,2.261,4.308,3.959,3.361,5.507,5.908,8.895,6.74,6.982,8.858,3.946,4.386,4,2.752,3.726,4.37,2.614,2.492,2.964,3.155,2.566,2.01,3.85,4.783,3.901,3.418,3.374,3.418,3.515,
1,PCOALW,World,Commodity Coal Price Index includes Australian and South African Coal,,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,53.817,52.75,49.892,43.279,45.214,55.434,53.179,49.374,41.687,37.313,39.351,49.338,39.495,43.288,82.919,71.922,76.882,98.373,192.189,104.445,145.769,182.639,144.5,126.651,110.149,89.045,100,132.739,156.791,113.955,94.846,199.939,558.474,407.802,319.249,322.717,322.563,322.767,
1,PCOALAU,World,"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",,U.S. dollars,Units,,42.935,50.818,54.768,38.188,30.958,33.75,31.125,27.5,34.875,38,39.667,39.667,38.563,31.333,32.3,39.372,38.074,35.099,29.231,25.892,26.25,32.313,27.06,27.954,56.73,50.816,52.731,70.089,138.024,76.16,104.599,129.607,101.443,90.134,75.729,62.693,70.082,94.138,113.231,82.193,61.983,143.985,402.499,299.104,225.805,236.245,236.143,236.265,
1,PCOALSA,World,"Coal, South African export price, US$ per metric tonne",,U.S. dollars,Units,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.875,31.5,28.833,26.958,28.563,35.229,33.518,31.349,26.839,24.273,26.57,33.864,26.011,30.076,54.684,45.953,50.583,62.315,120.741,64.559,91.658,116.173,92.924,80.324,72.303,57.097,64.419,84.486,97.925,71.265,65.223,125.247,349.548,250.467,203.754,198.625,198.521,198.671,
1,PFANDBW,World,Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,,"Index, 2016=100",,,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,64.108,56.372,57.467,62.061,64.718,68.292,64.016,67.752,58.931,58.102,57.902,61.293,66.909,73.318,75.154,81.328,92.738,109.245,92.698,105.403,125.442,119.813,118.315,118.018,98.903,100,103.133,101.334,98.186,99.956,127.377,145.178,137.215,134.124,133.827,133.827,133.827,
1,PFOODW,World,"Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices",,"Index, 2016=100",,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.437,58.27,59.86,62.55,68.103,62.174,66.943,58.789,59.028,59.602,62.708,68.502,75.374,76.309,82.418,93.92,110.416,92.869,105.392,124.971,120.873,120.489,118.594,98.538,100,103.796,102.505,99.37,101.041,129.109,146.992,138.657,135.563,135.24,135.24,135.24,
